nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,senha,cep,endereco,numero,bairro,cidade,estado,telefone_fixo,celular,altura,peso,tipo_sanguineo,cor
Henry Ian Noah Figueiredo,56,372.567.185-00,40.804.970-4,17/05/1965,Masculino,Touro,Isabel Laura,Vitor Mário Felipe Figueiredo,henryiannoahfigueiredo__henryiannoahfigueiredo@ddfnet.com.br,iIBztnk2hJ,69015-501,Travessa José Reis,868,Colônia Terra Nova,Manaus,AM,(92) 2672-7338,(92) 99360-8272,"1,75",94,B-,azul
Cecília Hadassa Jaqueline Dias,78,394.993.275-50,44.906.609-5,06/03/1943,Feminino,Peixes,Luzia Mirella Isabel,Edson Manuel Isaac Dias,ceciliahadassajaquelinedias__ceciliahadassajaquelinedias@publicarbrasil.com.br,ODgsDfDWQn,70640-523,Bloco Centro Comercial Bloco B,679,Cruzeiro Velho,Brasília,DF,(61) 2657-4115,(61) 99412-3075,"1,60",67,O-,verde
Sebastião Julio Castro,38,107.220.296-40,31.999.177-5,14/12/1983,Masculino,Sagitário,Isadora Melissa Sophie,Carlos Roberto Filipe Castro,sebastiaojuliocastro..sebastiaojuliocastro@grupomozue.com.br,cXuNp9R856,55002-161,1ª Travessa Minas Gerais,155,Nossa Senhora das Dores,Caruaru,PE,(81) 3649-9612,(81) 99976-2027,"1,79",85,O+,azul
Breno Sebastião Paulo Brito,43,258.911.049-97,38.484.695-6,08/05/1978,Masculino,Touro,Sophia Heloise Raquel,Calebe Kaique Felipe Brito,bbrenosebastiaopaulobrito@consultorialk.com.br,cFpnFGjj5Q,75093-350,Rua das Acácias,508,Privê Lírios dos Campos,Anápolis,GO,(62) 3995-0758,(62) 99968-9504,"1,60",52,B+,vermelho
Henrique Yago Oliveira,69,368.153.208-71,24.723.466-7,15/08/1952,Masculino,Leão,Clara Adriana,Nicolas Isaac Jorge Oliveira,henriqueyagooliveira-74@unimedara.com.br,IsS631TJ4I,66073-477,Vila Doutor Virgílio de Mendonça,852,Guamá,Belém,PA,(91) 2573-2125,(91) 98978-0937,"1,82",66,O-,laranja
Vitória Bianca Josefa Souza,32,841.521.568-13,38.404.194-2,24/07/1989,Feminino,Leão,Catarina Tereza Kamilly,Renato Mateus Souza,vitoriabiancajosefasouza__vitoriabiancajosefasouza@vianetfone.com.br,lDIula7JG0,78715-349,Rua Um,370,Jardim Ebenezer,Rondonópolis,MT,(66) 2949-1967,(66) 99139-3327,"1,64",57,B-,vermelho
Gael Lorenzo Sales,35,276.109.475-12,29.918.345-2,18/07/1986,Masculino,Câncer,Andrea Isabelle Daiane,Sebastião Renan Marcelo Sales,gaellorenzosales-77@grupoitaipu.com.br,2hweszcJlC,21021-630,Rua Professor Luís Rondelli,413,Olaria,Rio de Janeiro,RJ,(21) 2641-1916,(21) 99300-3630,"1,70",83,AB-,roxo
Heloisa Jaqueline Valentina das Neves,38,702.715.346-72,20.979.378-8,14/06/1983,Feminino,Gêmeos,Sara Isabelle,Otávio Mário das Neves,hheloisajaquelinevalentinadasneves@iquattro.com.br,JD4a0BBNcm,49094-970,"Avenida Presidente Tancredo Neves, s/n",741,Jabotiana,Aracaju,SE,(79) 2688-2536,(79) 98232-5138,"1,60",50,A-,vermelho
Guilherme Manuel Caldeira,18,376.691.839-77,10.407.893-5,07/12/2003,Masculino,Sagitário,Betina Kamilly,João Pedro Caldeira,guilhermemanuelcaldeira__guilhermemanuelcaldeira@fibran.com.br,tqOUXOeNkd,58011-345,Rua 13 de Dezembro,326,Trincheiras,João Pessoa,PB,(83) 3743-0980,(83) 98936-9334,"1,81",92,AB-,roxo
Kaique Rodrigo Jorge Pereira,63,284.553.988-68,37.560.111-9,22/06/1958,Masculino,Câncer,Julia Cristiane,Sebastião Thomas César Pereira,kaiquerodrigojorgepereira..kaiquerodrigojorgepereira@arysta.com.br,xlfMLBjH3b,13326-130,Rua Grécia,945,Jardim Celani,Salto,SP,(11) 2719-9393,(11) 98261-9336,"1,88",61,O+,laranja
Diogo Miguel Anthony dos Santos,53,993.197.455-95,20.048.299-3,07/05/1968,Masculino,Touro,Aline Jaqueline,Breno Leonardo Manoel dos Santos,diogomiguelanthonydossantos-91@cathedranet.com.br,0bui4QE9Rx,58011-260,Rua Gonçalo Coelho,951,Varadouro,João Pessoa,PB,(83) 3642-0723,(83) 98173-8438,"1,98",71,AB-,vermelho
Emilly Stella da Paz,61,283.912.441-64,22.894.860-5,12/07/1960,Feminino,Câncer,Joana Natália,Diogo Tiago Alexandre da Paz,emillystelladapaz__emillystelladapaz@vilasites.com.br,IpChpLxHn4,68927-278,Travessa Delorizano Monteiro,828,Nova Brasília,Santana,AP,(96) 2974-7078,(96) 99165-7842,"1,67",85,B+,preto
Edson Anderson Duarte,27,781.448.280-11,48.163.288-8,03/11/1994,Masculino,Escorpião,Patrícia Tânia,Gael Erick Duarte,edsonandersonduarte_@bds.com.br,zcbpsPrIty,49082-125,Rua Colômbia,357,Novo Paraíso,Aracaju,SE,(79) 3874-4983,(79) 98961-1790,"1,67",108,O+,vermelho
Elias Enrico Erick Jesus,74,212.824.524-95,26.732.916-7,01/03/1947,Masculino,Peixes,Isis Marlene Sophie,Lucas Manuel Luís Jesus,eliasenricoerickjesus__eliasenricoerickjesus@naressi.com.br,iI31ALSkcx,24736-200,Rua Monsenhor Benedito Marinho,513,Pacheco,São Gonçalo,RJ,(21) 2859-6687,(21) 99170-9297,"1,96",105,A+,amarelo
